Ontology,Input,Operazione,Esito,Costrutto,Messaggio
approximated_261f18de-581b-4334-9bd1-fa87028404cc__component.owl,functional,render,OK,,
approximated_261f18de-581b-4334-9bd1-fa87028404cc__component.owl,std,parse,OK,,
approximated_2886c605-9dfb-4cc2-9528-8b56dd528434_CMO_OWL.owl,MIS_128,parse,OK,,
approximated_2886c605-9dfb-4cc2-9528-8b56dd528434_CMO_OWL.owl,functional,render,OK,,
approximated_2886c605-9dfb-4cc2-9528-8b56dd528434_CMO_OWL.owl,std,parse,OK,,
approximated_2c12ed51-4979-4434-914a-ecea1d50d0da_udy_design.owl,MIS_128,parse,OK,,
approximated_2c12ed51-4979-4434-914a-ecea1d50d0da_udy_design.owl,functional,render,OK,,
approximated_2c12ed51-4979-4434-914a-ecea1d50d0da_udy_design.owl,std,parse,OK,,
approximated_3b913059-e630-4275-be45-859984a1b7be_e_semantic.rdf,MIS_128,parse,OK,,
approximated_3b913059-e630-4275-be45-859984a1b7be_e_semantic.rdf,functional,render,OK,,
approximated_3b913059-e630-4275-be45-859984a1b7be_e_semantic.rdf,std,parse,OK,,
approximated_4907f5f7-6fb8-49a4-8f69-33907519ca4e_bio2rdf.owl,MIS_128,parse,OK,,
approximated_4907f5f7-6fb8-49a4-8f69-33907519ca4e_bio2rdf.owl,functional,render,OK,,
approximated_4907f5f7-6fb8-49a4-8f69-33907519ca4e_bio2rdf.owl,std,parse,OK,,
approximated_4e70f119-38cb-4762-aae7-b588cfa028e0_Profile.owl,MIS_128,parse,OK,,
approximated_4e70f119-38cb-4762-aae7-b588cfa028e0_Profile.owl,functional,render,OK,,
approximated_4e70f119-38cb-4762-aae7-b588cfa028e0_Profile.owl,std,parse,OK,,
approximated_50c9ffca-2132-4434-afab-d4ce20cc2714_SUMOLite.owl,MIS_128,parse,OK,,
approximated_50c9ffca-2132-4434-afab-d4ce20cc2714_SUMOLite.owl,functional,render,OK,,
approximated_50c9ffca-2132-4434-afab-d4ce20cc2714_SUMOLite.owl,std,parse,OK,,
approximated_59c42aeb-6dc2-4824-a7ec-6aed305e2aa5_alModel2.0.owl,MIS_128,parse,OK,,
approximated_59c42aeb-6dc2-4824-a7ec-6aed305e2aa5_alModel2.0.owl,functional,render,OK,,
approximated_59c42aeb-6dc2-4824-a7ec-6aed305e2aa5_alModel2.0.owl,std,parse,OK,,
approximated_5a31ff58-7b01-4f05-b0ee-a5993d80b7ed_NIFOrganism.owl,MIS_128,parse,OK,,
approximated_5a31ff58-7b01-4f05-b0ee-a5993d80b7ed_NIFOrganism.owl,functional,render,OK,,
approximated_5a31ff58-7b01-4f05-b0ee-a5993d80b7ed_NIFOrganism.owl,std,parse,OK,,
approximated_8a0f3776-a145-498d-bff7-015edd0be169_ongkhalink.rdf,MIS_128,parse,OK,,
approximated_8a0f3776-a145-498d-bff7-015edd0be169_ongkhalink.rdf,functional,render,OK,,
approximated_8a0f3776-a145-498d-bff7-015edd0be169_ongkhalink.rdf,std,parse,OK,,
approximated_d4af5918-ea4f-41f6-af2c-1aac74993011_RIMDatatype,MIS_128,parse,OK,,
approximated_d4af5918-ea4f-41f6-af2c-1aac74993011_RIMDatatype,functional,render,OK,,
approximated_d4af5918-ea4f-41f6-af2c-1aac74993011_RIMDatatype,std,parse,OK,,
approximated_ec09fbd9-58ba-41a3-9c84-368d91118936_OBIMay2008.owl,MIS_128,parse,OK,,
approximated_ec09fbd9-58ba-41a3-9c84-368d91118936_OBIMay2008.owl,functional,render,OK,,
approximated_ec09fbd9-58ba-41a3-9c84-368d91118936_OBIMay2008.owl,std,parse,OK,,
approximated_faa95fb1-bdbd-4f60-b9cc-fda92c198986_PaulFisher.rdf,MIS_128,parse,OK,,
approximated_faa95fb1-bdbd-4f60-b9cc-fda92c198986_PaulFisher.rdf,functional,render,OK,,
approximated_faa95fb1-bdbd-4f60-b9cc-fda92c198986_PaulFisher.rdf,std,parse,OK,,
approximated_genomic-cds-demo.owl,MIS_128,parse,OK,,
approximated_genomic-cds-demo.owl,functional,render,OK,,
approximated_genomic-cds-demo.owl,std,parse,OK,,
approximated_genomic-cds.owl,MIS_128,parse,OK,,
approximated_genomic-cds.owl,functional,render,OK,,
approximated_genomic-cds.owl,std,parse,OK,,
